年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2023,合算,,定住者,凶悪犯,殺人,,9
2023,合算,,技能実習（不法含む）,凶悪犯,殺人,,21
2023,合算,,留学（就学・不法含む）,凶悪犯,殺人,,1
2023,合算,,日本人の配偶者等,凶悪犯,殺人,,5
2023,合算,,技術・人文知識・国際業務,凶悪犯,殺人,,3
2023,合算,,短期滞在（不法含む）,凶悪犯,殺人,,7
2023,合算,,特定活動,凶悪犯,殺人,,4
2023,合算,,その他,凶悪犯,殺人,,6
2023,合算,,定住者,凶悪犯,強盗,,23
2023,合算,,技能実習（不法含む）,凶悪犯,強盗,,13
2023,合算,,留学（就学・不法含む）,凶悪犯,強盗,,11
2023,合算,,日本人の配偶者等,凶悪犯,強盗,,9
2023,合算,,技術・人文知識・国際業務,凶悪犯,強盗,,6
2023,合算,,短期滞在（不法含む）,凶悪犯,強盗,,17
2023,合算,,特定活動,凶悪犯,強盗,,8
2023,合算,,その他,凶悪犯,強盗,,20
2023,合算,,定住者,凶悪犯,放火,,3
2023,合算,,技能実習（不法含む）,凶悪犯,放火,,0
2023,合算,,留学（就学・不法含む）,凶悪犯,放火,,0
2023,合算,,日本人の配偶者等,凶悪犯,放火,,1
2023,合算,,技術・人文知識・国際業務,凶悪犯,放火,,0
2023,合算,,短期滞在（不法含む）,凶悪犯,放火,,1
2023,合算,,特定活動,凶悪犯,放火,,0
2023,合算,,その他,凶悪犯,放火,,0
2023,合算,,定住者,凶悪犯,不同意性交等,,6
2023,合算,,技能実習（不法含む）,凶悪犯,不同意性交等,,6
2023,合算,,留学（就学・不法含む）,凶悪犯,不同意性交等,,8
2023,合算,,日本人の配偶者等,凶悪犯,不同意性交等,,12
2023,合算,,技術・人文知識・国際業務,凶悪犯,不同意性交等,,17
2023,合算,,短期滞在（不法含む）,凶悪犯,不同意性交等,,5
2023,合算,,特定活動,凶悪犯,不同意性交等,,5
2023,合算,,その他,凶悪犯,不同意性交等,,18
2023,合算,,定住者,粗暴犯,傷害,,162
2023,合算,,技能実習（不法含む）,粗暴犯,傷害,,71
2023,合算,,留学（就学・不法含む）,粗暴犯,傷害,,58
2023,合算,,日本人の配偶者等,粗暴犯,傷害,,112
2023,合算,,技術・人文知識・国際業務,粗暴犯,傷害,,66
2023,合算,,短期滞在（不法含む）,粗暴犯,傷害,,61
2023,合算,,特定活動,粗暴犯,傷害,,30
2023,合算,,その他,粗暴犯,傷害,,131
2023,合算,,定住者,窃盗犯,侵入盗,,24
2023,合算,,技能実習（不法含む）,窃盗犯,侵入盗,,83
2023,合算,,留学（就学・不法含む）,窃盗犯,侵入盗,,18
2023,合算,,日本人の配偶者等,窃盗犯,侵入盗,,9
2023,合算,,技術・人文知識・国際業務,窃盗犯,侵入盗,,19
2023,合算,,短期滞在（不法含む）,窃盗犯,侵入盗,,34
2023,合算,,特定活動,窃盗犯,侵入盗,,24
2023,合算,,その他,窃盗犯,侵入盗,,44
2023,合算,,定住者,知能犯,,,53
2023,合算,,技能実習（不法含む）,知能犯,,,70
2023,合算,,留学（就学・不法含む）,知能犯,,,80
2023,合算,,日本人の配偶者等,知能犯,,,33
2023,合算,,技術・人文知識・国際業務,知能犯,,,45
2023,合算,,短期滞在（不法含む）,知能犯,,,28
2023,合算,,特定活動,知能犯,,,34
2023,合算,,その他,知能犯,,,82
2023,合算,,定住者,風俗犯,,,17
2023,合算,,技能実習（不法含む）,風俗犯,,,20
2023,合算,,留学（就学・不法含む）,風俗犯,,,28
2023,合算,,日本人の配偶者等,風俗犯,,,26
2023,合算,,技術・人文知識・国際業務,風俗犯,,,31
2023,合算,,短期滞在（不法含む）,風俗犯,,,19
2023,合算,,特定活動,風俗犯,,,14
2023,合算,,その他,風俗犯,,,49
2023,合算,,定住者,その他の刑法犯,,,140
2023,合算,,技能実習（不法含む）,その他の刑法犯,,,149
2023,合算,,留学（就学・不法含む）,その他の刑法犯,,,189
2023,合算,,日本人の配偶者等,その他の刑法犯,,,78
2023,合算,,技術・人文知識・国際業務,その他の刑法犯,,,99
2023,合算,,短期滞在（不法含む）,その他の刑法犯,,,111
2023,合算,,特定活動,その他の刑法犯,,,55
2023,合算,,その他,その他の刑法犯,,,184
2023,合算,,定住者,窃盗犯,その他,,387
2023,合算,,技能実習（不法含む）,窃盗犯,その他,,431
2023,合算,,留学（就学・不法含む）,窃盗犯,その他,,276
2023,合算,,日本人の配偶者等,窃盗犯,その他,,179
2023,合算,,技術・人文知識・国際業務,窃盗犯,その他,,193
2023,合算,,短期滞在（不法含む）,窃盗犯,その他,,212
2023,合算,,特定活動,窃盗犯,その他,,75
2023,合算,,その他,窃盗犯,その他,,406
2023,合算,,定住者,粗暴犯,その他,,181
2023,合算,,技能実習（不法含む）,粗暴犯,その他,,69
2023,合算,,留学（就学・不法含む）,粗暴犯,その他,,76
2023,合算,,日本人の配偶者等,粗暴犯,その他,,141
2023,合算,,技術・人文知識・国際業務,粗暴犯,その他,,88
2023,合算,,短期滞在（不法含む）,粗暴犯,その他,,38
2023,合算,,特定活動,粗暴犯,その他,,40
2023,合算,,その他,粗暴犯,その他,,118
