年,年代,人数
2024,00~04歳,617493
2024,05~09歳,1142682
2024,10~14歳,1277886
2024,15~19歳,1450103
2024,20~24歳,2641242
2024,25~29歳,4099010
2024,30~34歳,4269483
2024,35~39歳,3502234
2024,40~44歳,3187026
2024,45~49歳,2552397
2024,50~54歳,2349968
2024,55~59歳,2026780
2024,60~64歳,1777916
2024,65~69歳,1270806
2024,70歳以上,1196085
2023,00~04歳,422704
2023,05~09歳,727701
2023,10~14歳,806341
2023,15~19歳,963469
2023,20~24歳,1844065
2023,25~29歳,2905658
2023,30~34歳,2958718
2023,35~39歳,2335296
2023,40~44歳,2142709
2023,45~49歳,1781963
2023,50~54歳,1712224
2023,55~59歳,1489301
2023,60~64歳,1290847
2023,65~69歳,900726
2023,70歳以上,851904
2022,00~04歳,45913
2022,05~09歳,69654
2022,10~14歳,74754
2022,15~19歳,94191
2022,20~24歳,212757
2022,25~29歳,367533
2022,30~34歳,383064
2022,35~39歳,309115
2022,40~44歳,278952
2022,45~49歳,243903
2022,50~54歳,233536
2022,55~59歳,195991
2022,60~64歳,158823
2022,65~69歳,102159
2022,70歳以上,91386
