年,国籍・地域,在留資格,人数
2021,韓国,短期滞在,11489
2021,ベトナム,短期滞在,766
2021,中国,短期滞在,3699
2021,タイ,短期滞在,7637
2021,フィリピン,短期滞在,2224
2021,台湾,短期滞在,3534
2021,インドネシア,短期滞在,1931
2021,マレーシア,短期滞在,1776
2021,スリランカ,短期滞在,510
2021,ネパール,短期滞在,151
2021,その他,短期滞在,13182
2021,韓国,技能実習1号イ,0
2021,ベトナム,技能実習1号イ,4
2021,中国,技能実習1号イ,5
2021,タイ,技能実習1号イ,2
2021,フィリピン,技能実習1号イ,2
2021,台湾,技能実習1号イ,0
2021,インドネシア,技能実習1号イ,2
2021,マレーシア,技能実習1号イ,1
2021,スリランカ,技能実習1号イ,0
2021,ネパール,技能実習1号イ,0
2021,その他,技能実習1号イ,1
2021,韓国,技能実習1号ロ,0
2021,ベトナム,技能実習1号ロ,2372
2021,中国,技能実習1号ロ,998
2021,タイ,技能実習1号ロ,81
2021,フィリピン,技能実習1号ロ,59
2021,台湾,技能実習1号ロ,0
2021,インドネシア,技能実習1号ロ,340
2021,マレーシア,技能実習1号ロ,0
2021,スリランカ,技能実習1号ロ,4
2021,ネパール,技能実習1号ロ,1
2021,その他,技能実習1号ロ,124
2021,韓国,技能実習2号イ,0
2021,ベトナム,技能実習2号イ,6
2021,中国,技能実習2号イ,4
2021,タイ,技能実習2号イ,0
2021,フィリピン,技能実習2号イ,1
2021,台湾,技能実習2号イ,0
2021,インドネシア,技能実習2号イ,2
2021,マレーシア,技能実習2号イ,0
2021,スリランカ,技能実習2号イ,0
2021,ネパール,技能実習2号イ,0
2021,その他,技能実習2号イ,0
2021,韓国,技能実習2号ロ,0
2021,ベトナム,技能実習2号ロ,3191
2021,中国,技能実習2号ロ,1182
2021,タイ,技能実習2号ロ,92
2021,フィリピン,技能実習2号ロ,92
2021,台湾,技能実習2号ロ,0
2021,インドネシア,技能実習2号ロ,380
2021,マレーシア,技能実習2号ロ,0
2021,スリランカ,技能実習2号ロ,2
2021,ネパール,技能実習2号ロ,3
2021,その他,技能実習2号ロ,153
2021,韓国,技能実習3号イ,0
2021,ベトナム,技能実習3号イ,0
2021,中国,技能実習3号イ,0
2021,タイ,技能実習3号イ,0
2021,フィリピン,技能実習3号イ,0
2021,台湾,技能実習3号イ,0
2021,インドネシア,技能実習3号イ,0
2021,マレーシア,技能実習3号イ,0
2021,スリランカ,技能実習3号イ,0
2021,ネパール,技能実習3号イ,0
2021,その他,技能実習3号イ,0
2021,韓国,技能実習3号ロ,0
2021,ベトナム,技能実習3号ロ,55
2021,中国,技能実習3号ロ,15
2021,タイ,技能実習3号ロ,3
2021,フィリピン,技能実習3号ロ,1
2021,台湾,技能実習3号ロ,0
2021,インドネシア,技能実習3号ロ,3
2021,マレーシア,技能実習3号ロ,0
2021,スリランカ,技能実習3号ロ,0
2021,ネパール,技能実習3号ロ,0
2021,その他,技能実習3号ロ,5
2021,韓国,特定活動,36
2021,ベトナム,特定活動,907
2021,中国,特定活動,414
2021,タイ,特定活動,33
2021,フィリピン,特定活動,667
2021,台湾,特定活動,8
2021,インドネシア,特定活動,743
2021,マレーシア,特定活動,0
2021,スリランカ,特定活動,523
2021,ネパール,特定活動,803
2021,その他,特定活動,1426
2021,韓国,留学,145
2021,ベトナム,留学,1772
2021,中国,留学,1097
2021,タイ,留学,14
2021,フィリピン,留学,21
2021,台湾,留学,9
2021,インドネシア,留学,80
2021,マレーシア,留学,9
2021,スリランカ,留学,150
2021,ネパール,留学,93
2021,その他,留学,226
2021,韓国,日本人の配偶者等,215
2021,ベトナム,日本人の配偶者等,13
2021,中国,日本人の配偶者等,411
2021,タイ,日本人の配偶者等,192
2021,フィリピン,日本人の配偶者等,813
2021,台湾,日本人の配偶者等,10
2021,インドネシア,日本人の配偶者等,24
2021,マレーシア,日本人の配偶者等,6
2021,スリランカ,日本人の配偶者等,21
2021,ネパール,日本人の配偶者等,3
2021,その他,日本人の配偶者等,798
2021,韓国,その他,241
2021,ベトナム,その他,562
2021,中国,その他,1006
2021,タイ,その他,85
2021,フィリピン,その他,1584
2021,台湾,その他,37
2021,インドネシア,その他,90
2021,マレーシア,その他,12
2021,スリランカ,その他,100
2021,ネパール,その他,104
2021,その他,その他,1739
