年,表示区分,検挙人員数_1万人あたり,種別,日本人人口_千人,推計検挙人員,想定
2013,日本人,22.77408195187602,実績,,,
2014,日本人,21.77102939047343,実績,,,
2015,日本人,20.62463469818308,実績,,,
2016,日本人,19.50336684691063,実績,,,
2017,日本人,18.524313792806147,実績,,,
2018,日本人,17.8057826086707,実績,,,
2019,日本人,16.669173471121912,実績,,,
2020,日本人,15.782147374033924,実績,,,
2021,日本人,15.155470344747444,実績,,,
2022,日本人,14.7653291676953,実績,,,
2023,日本人,16.020734094014255,実績,,,
2024,日本人,16.826381928574808,実績,,,
2040,日本人,15.0,予測,106982.0,160473.0,2040年・2070年は15.0人固定
2070,日本人,15.0,予測,77606.0,116409.0,2040年・2070年は15.0人固定
