年,業種,外国人労働者数,外国人労働者数_派遣及び請負事業,外国人労働者_派遣及び請負事業割合,外国人労働者_派遣及び請負事業割合_pct
2024,農業、林業,58373,1346,0.02305860586229935,2.305860586229935
2024,漁業,6434,42,0.006527820951196767,0.6527820951196768
2024,鉱業、採石業、砂利採取業,493,61,0.12373225152129817,12.373225152129818
2024,建設業,177902,9686,0.05444570606288856,5.444570606288856
2024,製造業,598314,76487,0.12783755686813278,12.783755686813278
2024,電気・ガス・熱供給・水道業,817,81,0.09914320685434516,9.914320685434516
2024,情報通信業,90546,11327,0.1250966359640404,12.509663596404039
2024,運輸業、郵便業,75157,13108,0.17440823875354258,17.44082387535426
2024,卸売業、小売業,298348,10955,0.03671886521779935,3.671886521779935
2024,金融業、保険業,12872,780,0.06059664387818521,6.059664387818521
2024,不動産業、物品賃貸業,23142,2157,0.09320715582058595,9.320715582058595
2024,学術研究、専門・技術サービス業,79314,14023,0.1768035907910331,17.68035907910331
2024,宿泊業、飲食サービス業,273333,8101,0.029637841021757344,2.9637841021757345
2024,生活関連サービス業、娯楽業,29991,4064,0.13550731886232537,13.550731886232537
2024,教育、学習支援業,82902,4750,0.057296567030952206,5.729656703095221
2024,医療、福祉,116350,3516,0.030219166308551784,3.0219166308551784
2024,複合サービス事業,7109,854,0.12012941341960895,12.012941341960895
2024,サービス業（他に分類されないもの）,354418,236415,0.6670513348644821,66.7051334864482
2024,公務（他に分類されるものを除く）,11244,789,0.07017075773745998,7.017075773745998
2024,分類不能の産業,5528,671,0.12138205499276411,12.138205499276411
