表示区分,罪種,検挙人員,総検挙人員,構成比,構成比_pct
日本全体,窃盗犯,88279.0,191716.0,0.4604675666089424,46.04675666089424
日本全体,凶悪犯,6292.0,191716.0,0.032819378664274236,3.2819378664274237
日本全体,粗暴犯,49457.0,191716.0,0.25797012247282436,25.797012247282435
日本全体,知能犯,11546.0,191716.0,0.0602244987377162,6.02244987377162
日本全体,風俗犯,11069.0,191716.0,0.057736443489327965,5.773644348932796
日本全体,その他の刑法犯,25073.0,191716.0,0.13078199002691482,13.078199002691482
日本人,窃盗犯,83810.0,181362.0,0.46211444514286343,46.21144451428634
日本人,凶悪犯,5848.0,181362.0,0.032244902460272826,3.2244902460272824
日本人,粗暴犯,46816.0,181362.0,0.25813566237690366,25.813566237690367
日本人,知能犯,10838.0,181362.0,0.05975893516833736,5.975893516833736
日本人,風俗犯,10683.0,181362.0,0.05890429086578225,5.890429086578225
日本人,その他の刑法犯,23367.0,181362.0,0.12884176398584046,12.884176398584046
外国人,窃盗犯,4469.0,10354.0,0.43162062970832527,43.16206297083253
外国人,凶悪犯,444.0,10354.0,0.042881977979524824,4.288197797952482
外国人,粗暴犯,2641.0,10354.0,0.2550705041529844,25.507050415298437
外国人,知能犯,708.0,10354.0,0.06837937029167472,6.837937029167472
外国人,風俗犯,386.0,10354.0,0.03728027815337068,3.7280278153370676
外国人,その他の刑法犯,1706.0,10354.0,0.16476723971412013,16.476723971412014
永住者等,窃盗犯,1824.0,3986.0,0.45760160561966884,45.760160561966885
永住者等,凶悪犯,142.0,3986.0,0.03562468640240843,3.562468640240843
永住者等,粗暴犯,1182.0,3986.0,0.2965378825890617,29.65378825890617
永住者等,知能犯,230.0,3986.0,0.0577019568489714,5.77019568489714
永住者等,風俗犯,118.0,3986.0,0.02960361264425489,2.960361264425489
永住者等,その他の刑法犯,490.0,3986.0,0.12293025589563472,12.293025589563472
永住者等のうち韓国・朝鮮籍,窃盗犯,784.0,1561.0,0.5022421524663677,50.224215246636774
永住者等のうち韓国・朝鮮籍,凶悪犯,44.0,1561.0,0.028187059577194105,2.8187059577194105
永住者等のうち韓国・朝鮮籍,粗暴犯,436.0,1561.0,0.27930813581037794,27.930813581037796
永住者等のうち韓国・朝鮮籍,知能犯,92.0,1561.0,0.058936579115951314,5.893657911595131
永住者等のうち韓国・朝鮮籍,風俗犯,33.0,1561.0,0.02114029468289558,2.114029468289558
永住者等のうち韓国・朝鮮籍,その他の刑法犯,172.0,1561.0,0.11018577834721333,11.018577834721333
永住者等のうち韓国・朝鮮籍以外,窃盗犯,1040.0,2425.0,0.4288659793814433,42.88659793814433
永住者等のうち韓国・朝鮮籍以外,凶悪犯,98.0,2425.0,0.04041237113402062,4.041237113402062
永住者等のうち韓国・朝鮮籍以外,粗暴犯,746.0,2425.0,0.30762886597938144,30.762886597938145
永住者等のうち韓国・朝鮮籍以外,知能犯,138.0,2425.0,0.05690721649484536,5.690721649484536
永住者等のうち韓国・朝鮮籍以外,風俗犯,85.0,2425.0,0.03505154639175258,3.5051546391752577
永住者等のうち韓国・朝鮮籍以外,その他の刑法犯,318.0,2425.0,0.1311340206185567,13.11340206185567
