補足予定データ,作成状況,出力ファイルまたは理由
技能実習・留学の罪種別構成,作成済み,01_在留資格別_罪種構成_年別.csv
技能実習・留学の国籍別構成,作成済み,11_在留資格別_国籍地域別構成_最新年.csv
技能実習・留学の失踪者数,未作成,外部データが必要
技能実習・留学の退去強制・在留資格取消件数,未作成,外部データが必要
短期滞在者の国籍別検挙人員割合,未作成,現データに短期滞在者の国籍別人口が不足
短期滞在者の罪種別構成,作成済み,01_在留資格別_罪種構成_年別.csv
短期滞在から不法残留へ移行した人数,未作成,外部データまたは個票に近い遷移情報が必要
定住者の国籍別構成,作成済み,11_在留資格別_国籍地域別構成_最新年.csv
定住者の就労形態・所得分布,未作成,外部データが必要
外国籍児童生徒の不就学・日本語指導必要者数,未作成,外部データが必要
日本人の配偶者等の国籍別構成,作成済み,11_在留資格別_国籍地域別構成_最新年.csv
日本人の配偶者等の男女別・年代別構成,作成済み,13_在留資格別_男女年代構成_最新年.csv
国際結婚・離婚件数の推移,未作成,外部データが必要
DV相談・生活困窮関連データ,未作成,外部データが必要
永住者等の内訳,一部作成済み,07_特別永住者_国籍構成_最新年.csv
特別永住者の国籍別構成,作成済み,07_特別永住者_国籍構成_最新年.csv
永住者等の国籍別検挙人員割合,一部作成済み,06_来日外国人以外_国籍別検挙人員割合_最新年.csv
地域別の人口集中,作成済み,12_在留資格別_都道府県別構成_最新年.csv
地域別の就労構造,未作成,外部データが必要
不法残留者の在留資格別構成,作成済み,04_不法残留者_在留資格別構成_年別.csv
不法残留者の国籍別構成,作成済み,05_不法残留者_国籍地域別構成_年別.csv
外国人比率別の日本全体への影響倍率,作成済み,10_外国人比率別_日本全体への影響倍率.csv
