年,国籍・地域,在留資格,性別,年代,人口,性別総人口,構成比,構成比_pct
2024,フィリピン,定住者,男,0~13歳,6366,23312,0.27307824296499655,27.307824296499657
2024,フィリピン,定住者,男,10代(14歳以上),3385,23312,0.14520418668496912,14.520418668496912
2024,フィリピン,定住者,男,20代,5378,23312,0.23069663692518874,23.069663692518873
2024,フィリピン,定住者,男,30代,4475,23312,0.19196122168840082,19.196122168840084
2024,フィリピン,定住者,男,40代,2271,23312,0.09741763898421414,9.741763898421414
2024,フィリピン,定住者,男,50代,1005,23312,0.04311084420041181,4.311084420041181
2024,フィリピン,定住者,男,60代,366,23312,0.01570006863417982,1.570006863417982
2024,フィリピン,定住者,男,70代以上,66,23312,0.002831159917638984,0.2831159917638984
2024,フィリピン,定住者,女,0~13歳,6421,38409,0.1671743601760004,16.71743601760004
2024,フィリピン,定住者,女,10代(14歳以上),3507,38409,0.09130672498633133,9.130672498633134
2024,フィリピン,定住者,女,20代,5880,38409,0.1530891197375615,15.308911973756151
2024,フィリピン,定住者,女,30代,7307,38409,0.19024187039495952,19.024187039495953
2024,フィリピン,定住者,女,40代,8356,38409,0.21755317764065712,21.755317764065712
2024,フィリピン,定住者,女,50代,5645,38409,0.14697076206097529,14.69707620609753
2024,フィリピン,定住者,女,60代,1187,38409,0.030904215157905698,3.09042151579057
2024,フィリピン,定住者,女,70代以上,106,38409,0.002759769845609102,0.2759769845609102
