年,総人口_千人,総人口_0_14歳_千人,総人口_15_64歳_千人,総人口_65歳以上_千人,総人口_0_14歳割合_pct,総人口_15_64歳割合_pct,総人口_65歳以上割合_pct,日本人人口_千人,日本人人口_0_14歳_千人,日本人人口_15_64歳_千人,日本人人口_65歳以上_千人,日本人人口_0_14歳割合_pct,日本人人口_15_64歳割合_pct,日本人人口_65歳以上割合_pct,外国人人口_千人,外国人人口_万人,総人口_万人,日本人人口_万人,日本人構成比_pct,外国人構成比_pct
2020,126146,15032,75088,36027,11.9,59.5,28.6,123399,14810,72749,35840,12.0,59.0,29.0,2747,274.7,12614.6,12339.9,97.82236456169835,2.1776354383016505
2021,125527,14792,74508,36226,11.8,59.4,28.9,122810,14568,72214,36028,11.9,58.8,29.3,2717,271.7,12552.7,12281.0,97.835525424809,2.1644745751909946
2022,124978,14515,74196,36266,11.6,59.4,29.0,122097,14276,71764,36058,11.7,58.8,29.5,2881,288.1,12497.8,12209.7,97.69479428379395,2.305205716206052
2023,124408,14202,73858,36348,11.4,59.4,29.2,121363,13946,71288,36129,11.5,58.7,29.8,3045,304.5,12440.8,12136.3,97.55240820526011,2.447591794739888
2024,123844,13915,73466,36463,11.2,59.3,29.4,120633,13641,70759,36234,11.3,58.7,30.0,3211,321.1,12384.4,12063.3,97.40722198895384,2.5927780110461547
2025,123262,13633,73101,36529,11.1,59.3,29.6,119887,13341,70259,36288,11.1,58.6,30.3,3375,337.5,12326.2,11988.7,97.26192987295354,2.738070127046454
2026,122661,13355,72742,36564,10.9,59.3,29.8,119120,13045,69765,36311,11.0,58.6,30.5,3541,354.1,12266.1,11912.0,97.11318185894457,2.886818141055429
2027,122044,13100,72335,36609,10.7,59.3,30.0,118338,12774,69222,36342,10.8,58.5,30.7,3706,370.6,12204.4,11833.8,96.96339025269575,3.036609747304251
2028,121414,12850,71880,36683,10.6,59.2,30.2,117542,12506,68636,36399,10.6,58.4,31.0,3872,387.2,12141.4,11754.2,96.8109114270183,3.1890885729816993
2029,120771,12625,71367,36779,10.5,59.1,30.5,116733,12263,67991,36479,10.5,58.2,31.2,4038,403.8,12077.1,11673.3,96.6564821024915,3.343517897508508
2030,120116,12397,70757,36962,10.3,58.9,30.8,115912,12016,67251,36645,10.4,58.0,31.6,4204,420.4,12011.6,11591.2,96.50004995171334,3.499950048286656
2031,119448,12193,70438,36817,10.2,59.0,30.8,115078,11793,66800,36485,10.2,58.0,31.7,4370,437.0,11944.8,11507.8,96.34150425289666,3.658495747103342
2032,118766,12026,69705,37035,10.1,58.7,31.2,114231,11606,65938,36687,10.2,57.7,32.1,4535,453.5,11876.6,11423.1,96.18156711516764,3.8184328848323594
2033,118071,11879,68949,37243,10.1,58.4,31.5,113370,11439,65056,36875,10.1,57.4,32.5,4701,470.1,11807.1,11337.0,96.01849734481794,3.9815026551820516
2034,117362,11771,68111,37480,10.0,58.0,31.9,112494,11309,64093,37092,10.1,57.0,33.0,4868,486.8,11736.2,11249.4,95.85214975886574,4.147850241134268
2035,116639,11691,67216,37732,10.0,57.6,32.3,111605,11208,63073,37325,10.0,56.5,33.4,5034,503.4,11663.9,11160.5,95.6841193768808,4.315880623119197
2036,115902,11605,66268,38030,10.0,57.2,32.8,110703,11100,62000,37602,10.0,56.0,34.0,5199,519.9,11590.2,11070.3,95.51431381684526,4.485686183154734
2037,115152,11551,65230,38371,10.0,56.6,33.3,109789,11028,60835,37926,10.0,55.4,34.5,5363,536.3,11515.2,10978.9,95.34267750451578,4.65732249548423
2038,114391,11520,64132,38739,10.1,56.1,33.9,108862,10978,59609,38275,10.1,54.8,35.2,5529,552.9,11439.1,10886.2,95.16657779021077,4.833422209789232
2039,113619,11474,63080,39066,10.1,55.5,34.4,107926,10915,58427,38585,10.1,54.1,35.8,5693,569.3,11361.9,10792.6,94.98939437946117,5.0106056205388185
2040,112837,11419,62133,39285,10.1,55.1,34.8,106982,10843,57351,38788,10.1,53.6,36.3,5855,585.5,11283.7,10698.2,94.81109919618564,5.188900803814351
2041,112045,11360,61254,39431,10.1,54.7,35.2,106030,10768,56345,38917,10.2,53.1,36.7,6015,601.5,11204.5,10603.0,94.63162122361551,5.368378776384489
2042,111243,11292,60451,39500,10.2,54.3,35.5,105074,10685,55421,38968,10.2,52.7,37.1,6169,616.9,11124.3,10507.4,94.4544825292378,5.5455174707622055
2043,110434,11214,59691,39529,10.2,54.1,35.8,104114,10593,54543,38978,10.2,52.4,37.4,6320,632.0,11043.4,10411.4,94.2771247985222,5.722875201477805
2044,109620,11126,58989,39505,10.1,53.8,36.0,103152,10491,53728,38933,10.2,52.1,37.7,6468,646.8,10962.0,10315.2,94.09961685823754,5.900383141762452
2045,108801,11027,58323,39451,10.1,53.6,36.3,102190,10380,52953,38857,10.2,51.8,38.0,6611,661.1,10880.1,10219.0,93.92376908300474,6.076230916995248
2046,107981,10919,57720,39342,10.1,53.5,36.4,101229,10261,52243,38725,10.1,51.6,38.3,6752,675.2,10798.1,10122.9,93.74704809179393,6.252951908206074
2047,107159,10801,57125,39232,10.1,53.3,36.6,100268,10134,51548,38587,10.1,51.4,38.5,6891,689.1,10715.9,10026.8,93.56936888175514,6.43063111824485
2048,106336,10676,56529,39131,10.0,53.2,36.8,99309,10000,50850,38459,10.1,51.2,38.7,7027,702.7,10633.6,9930.9,93.39170177550406,6.608298224495937
2049,105512,10544,55945,39022,10.0,53.0,37.0,98352,9861,50166,38324,10.0,51.0,39.0,7160,716.0,10551.2,9835.2,93.21404200470089,6.785957995299113
2050,104686,10406,55402,38878,9.9,52.9,37.1,97395,9717,49524,38154,10.0,50.8,39.2,7291,729.1,10468.6,9739.5,93.03536289475193,6.964637105248076
2051,103859,10263,54900,38696,9.9,52.9,37.3,96439,9569,48926,37944,9.9,50.7,39.3,7420,742.0,10385.9,9643.9,92.85569859135944,7.14430140864056
2052,103029,10115,54409,38505,9.8,52.8,37.4,95482,9418,48344,37720,9.9,50.6,39.5,7547,754.7,10302.9,9548.2,92.6748779469858,7.3251220530142005
2053,102195,9965,53941,38288,9.8,52.8,37.5,94523,9265,47789,37469,9.8,50.6,39.6,7672,767.2,10219.5,9452.3,92.49278340427614,7.507216595723862
2054,101355,9813,53500,38042,9.7,52.8,37.5,93561,9111,47269,37181,9.7,50.5,39.7,7794,779.4,10135.5,9356.1,92.31019683291402,7.6898031670859845
2055,100508,9659,53070,37779,9.6,52.8,37.6,92594,8956,46766,36872,9.7,50.5,39.8,7914,791.4,10050.8,9259.4,92.12599992040434,7.874000079595654
2056,99654,9507,52652,37495,9.5,52.8,37.6,91622,8803,46275,36544,9.6,50.5,39.9,8032,803.2,9965.4,9162.2,91.94011279025428,8.05988720974572
2057,98792,9357,52213,37222,9.5,52.9,37.7,90644,8653,45769,36223,9.5,50.5,40.0,8148,814.8,9879.2,9064.4,91.75236861284316,8.247631387156854
2058,97920,9209,51771,36939,9.4,52.9,37.7,89660,8506,45269,35885,9.5,50.5,40.0,8260,826.0,9792.0,8966.0,91.56454248366013,8.43545751633987
2059,97038,9067,51286,36685,9.3,52.9,37.8,88668,8363,44733,35572,9.4,50.4,40.1,8370,837.0,9703.8,8866.8,91.37451307735114,8.625486922648859
2060,96148,8930,50781,36437,9.3,52.8,37.9,87670,8227,44185,35258,9.4,50.4,40.2,8478,847.8,9614.8,8767.0,91.1823438865083,8.8176561134917
2061,95249,8800,50273,36176,9.2,52.8,38.0,86666,8097,43641,34928,9.3,50.4,40.3,8583,858.3,9524.9,8666.6,90.988881773037,9.011118226963012
2062,94342,8677,49748,35916,9.2,52.7,38.1,85656,7975,43086,34595,9.3,50.3,40.4,8686,868.6,9434.2,8565.6,90.79307201458523,9.206927985414767
2063,93428,8563,49205,35660,9.2,52.7,38.2,84643,7861,42516,34267,9.3,50.2,40.5,8785,878.5,9342.8,8464.3,90.59703729074795,9.402962709252044
2064,92509,8457,48659,35392,9.1,52.6,38.3,83628,7755,41949,33924,9.3,50.2,40.6,8881,888.1,9250.9,8362.8,90.39985298727692,9.600147012723086
2065,91587,8360,48093,35134,9.1,52.5,38.4,82612,7658,41369,33585,9.3,50.1,40.7,8975,897.5,9158.7,8261.2,90.20057431731577,9.799425682684223
2066,90663,8270,47531,34861,9.1,52.4,38.5,81599,7568,40787,33243,9.3,50.0,40.7,9064,906.4,9066.3,8159.9,90.00253686729978,9.99746313270022
2067,89739,8188,46976,34575,9.1,52.3,38.5,80589,7486,40212,32891,9.3,49.9,40.8,9150,915.0,8973.9,8058.9,89.80376424965733,10.19623575034266
2068,88819,8113,46434,34273,9.1,52.3,38.6,79585,7410,39662,32513,9.3,49.8,40.9,9234,923.4,8881.9,7958.5,89.60357581148178,10.396424188518221
2069,87904,8042,45879,33983,9.1,52.2,38.7,78590,7339,39111,32140,9.3,49.8,40.9,9314,931.4,8790.4,7859.0,89.40435020021842,10.59564979978158
2070,86996,7975,45350,33671,9.2,52.1,38.7,77606,7271,38592,31743,9.4,49.7,40.9,9390,939.0,8699.6,7760.6,89.2064002942664,10.793599705733598
